[peak]id_number	mz	rtime	apex(scan number)	[EmpCpd]interim_id            	[EmpCpd]ion_relation	neutral_formula	neutral_formula_mass            	name_1st_guess	matched_DB_shorts	matched_DB_records
F3504	185.0425033569336	53.6728812	71	kp22_161.0505	13C/12C,Na/H	None	161.0505056770288	trans-S-(1-Propenyl)-L-cysteine	(HMDB0029440$trans-S-(1-Propenyl)-L-cysteine;HMDB0034323$S-Allylcysteine)	('C6H11NO2S_161.051049', '', 1)
F580	164.0787124633789	381.724548	1051	kp23_162.0679	13C/12C,M+H+	None	162.06794694590903	1,2-Dihydronaphthalene-1,2-diol	(HMDB0060335$1,2-Dihydronaphthalene-1,2-diol;HMDB0029714$4,5-Dihydro-1-benzoxepin-3(2H)-one;HMDB0032611$3-(4-Methoxyphenyl)-2-propenal;HMDB0033591$Safrole;HMDB0033830$Cassiastearoptene;HMDB0033833$Methyl cinnamate;HMDB0038893$3,6-Dimethyl-2(3H)-benzofuranone;HMDB0040577$Cinnamyl formate;HMDB0040592$Allyl benzoate;HMDB0133504$4-(3-hydroxyphenyl)but-3-en-2-one;HMDB0133594$(2E)-2-methyl-3-phenylprop-2-enoic acid;HMDB0133595$(2Z)-2-(hydroxymethyl)-3-phenylprop-2-enal;HMDB0133596$(2Z)-3-(3-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133597$(2Z)-3-(4-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133598$2-methyl-3-phenyloxirane-2-carbaldehyde;HMDB0133599$(2Z)-3-(2-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133747$(3E)-1-hydroxy-4-phenylbut-3-en-2-one;HMDB0133748$(3E)-4-(3-hydroxyphenyl)but-3-en-2-one;HMDB0133749$(3E)-4-(4-hydroxyphenyl)but-3-en-2-one;HMDB0133750$1-(3-phenyloxiran-2-yl)ethan-1-one;HMDB0133751$(3E)-4-(2-hydroxyphenyl)but-3-en-2-one;HMDB0133752$(3Z)-3-hydroxy-4-phenylbut-3-en-2-one;HMDB0133755$1-phenylbutane-2,3-dione;HMDB0135643$3-(4-methoxyphenyl)prop-2-enal;HMDB0141046$4-(4-hydroxyphenyl)but-3-en-2-one;HMDB0141158$1-hydroxy-4-phenylbut-3-en-2-one)	('C10H10O2_162.06808', '', 1)
F3509	185.05718612670898	381.724548	1051	kp23_162.0679	M0,Na/H	None	162.06794694590903	1,2-Dihydronaphthalene-1,2-diol	(HMDB0060335$1,2-Dihydronaphthalene-1,2-diol;HMDB0029714$4,5-Dihydro-1-benzoxepin-3(2H)-one;HMDB0032611$3-(4-Methoxyphenyl)-2-propenal;HMDB0033591$Safrole;HMDB0033830$Cassiastearoptene;HMDB0033833$Methyl cinnamate;HMDB0038893$3,6-Dimethyl-2(3H)-benzofuranone;HMDB0040577$Cinnamyl formate;HMDB0040592$Allyl benzoate;HMDB0133504$4-(3-hydroxyphenyl)but-3-en-2-one;HMDB0133594$(2E)-2-methyl-3-phenylprop-2-enoic acid;HMDB0133595$(2Z)-2-(hydroxymethyl)-3-phenylprop-2-enal;HMDB0133596$(2Z)-3-(3-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133597$(2Z)-3-(4-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133598$2-methyl-3-phenyloxirane-2-carbaldehyde;HMDB0133599$(2Z)-3-(2-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133747$(3E)-1-hydroxy-4-phenylbut-3-en-2-one;HMDB0133748$(3E)-4-(3-hydroxyphenyl)but-3-en-2-one;HMDB0133749$(3E)-4-(4-hydroxyphenyl)but-3-en-2-one;HMDB0133750$1-(3-phenyloxiran-2-yl)ethan-1-one;HMDB0133751$(3E)-4-(2-hydroxyphenyl)but-3-en-2-one;HMDB0133752$(3Z)-3-hydroxy-4-phenylbut-3-en-2-one;HMDB0133755$1-phenylbutane-2,3-dione;HMDB0135643$3-(4-methoxyphenyl)prop-2-enal;HMDB0141046$4-(4-hydroxyphenyl)but-3-en-2-one;HMDB0141158$1-hydroxy-4-phenylbut-3-en-2-one)	('C10H10O2_162.06808', '', 1)
F377	163.07512664794922	381.724548	1051	kp23_162.0679	M0,M+H+	None	162.06794694590903	1,2-Dihydronaphthalene-1,2-diol	(HMDB0060335$1,2-Dihydronaphthalene-1,2-diol;HMDB0029714$4,5-Dihydro-1-benzoxepin-3(2H)-one;HMDB0032611$3-(4-Methoxyphenyl)-2-propenal;HMDB0033591$Safrole;HMDB0033830$Cassiastearoptene;HMDB0033833$Methyl cinnamate;HMDB0038893$3,6-Dimethyl-2(3H)-benzofuranone;HMDB0040577$Cinnamyl formate;HMDB0040592$Allyl benzoate;HMDB0133504$4-(3-hydroxyphenyl)but-3-en-2-one;HMDB0133594$(2E)-2-methyl-3-phenylprop-2-enoic acid;HMDB0133595$(2Z)-2-(hydroxymethyl)-3-phenylprop-2-enal;HMDB0133596$(2Z)-3-(3-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133597$(2Z)-3-(4-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133598$2-methyl-3-phenyloxirane-2-carbaldehyde;HMDB0133599$(2Z)-3-(2-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133747$(3E)-1-hydroxy-4-phenylbut-3-en-2-one;HMDB0133748$(3E)-4-(3-hydroxyphenyl)but-3-en-2-one;HMDB0133749$(3E)-4-(4-hydroxyphenyl)but-3-en-2-one;HMDB0133750$1-(3-phenyloxiran-2-yl)ethan-1-one;HMDB0133751$(3E)-4-(2-hydroxyphenyl)but-3-en-2-one;HMDB0133752$(3Z)-3-hydroxy-4-phenylbut-3-en-2-one;HMDB0133755$1-phenylbutane-2,3-dione;HMDB0135643$3-(4-methoxyphenyl)prop-2-enal;HMDB0141046$4-(4-hydroxyphenyl)but-3-en-2-one;HMDB0141158$1-hydroxy-4-phenylbut-3-en-2-one)	('C10H10O2_162.06808', '', 1)
F380	163.07512664794922	480.213534	1349	kp24_162.068	M0,M+H+	None	162.06796558889405	1,2-Dihydronaphthalene-1,2-diol	(HMDB0060335$1,2-Dihydronaphthalene-1,2-diol;HMDB0029714$4,5-Dihydro-1-benzoxepin-3(2H)-one;HMDB0032611$3-(4-Methoxyphenyl)-2-propenal;HMDB0033591$Safrole;HMDB0033830$Cassiastearoptene;HMDB0033833$Methyl cinnamate;HMDB0038893$3,6-Dimethyl-2(3H)-benzofuranone;HMDB0040577$Cinnamyl formate;HMDB0040592$Allyl benzoate;HMDB0133504$4-(3-hydroxyphenyl)but-3-en-2-one;HMDB0133594$(2E)-2-methyl-3-phenylprop-2-enoic acid;HMDB0133595$(2Z)-2-(hydroxymethyl)-3-phenylprop-2-enal;HMDB0133596$(2Z)-3-(3-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133597$(2Z)-3-(4-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133598$2-methyl-3-phenyloxirane-2-carbaldehyde;HMDB0133599$(2Z)-3-(2-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133747$(3E)-1-hydroxy-4-phenylbut-3-en-2-one;HMDB0133748$(3E)-4-(3-hydroxyphenyl)but-3-en-2-one;HMDB0133749$(3E)-4-(4-hydroxyphenyl)but-3-en-2-one;HMDB0133750$1-(3-phenyloxiran-2-yl)ethan-1-one;HMDB0133751$(3E)-4-(2-hydroxyphenyl)but-3-en-2-one;HMDB0133752$(3Z)-3-hydroxy-4-phenylbut-3-en-2-one;HMDB0133755$1-phenylbutane-2,3-dione;HMDB0135643$3-(4-methoxyphenyl)prop-2-enal;HMDB0141046$4-(4-hydroxyphenyl)but-3-en-2-one;HMDB0141158$1-hydroxy-4-phenylbut-3-en-2-one)	('C10H10O2_162.06808', '', 1)
F581	164.0787124633789	480.84003	1351	kp24_162.068	13C/12C,M+H+	None	162.06796558889405	1,2-Dihydronaphthalene-1,2-diol	(HMDB0060335$1,2-Dihydronaphthalene-1,2-diol;HMDB0029714$4,5-Dihydro-1-benzoxepin-3(2H)-one;HMDB0032611$3-(4-Methoxyphenyl)-2-propenal;HMDB0033591$Safrole;HMDB0033830$Cassiastearoptene;HMDB0033833$Methyl cinnamate;HMDB0038893$3,6-Dimethyl-2(3H)-benzofuranone;HMDB0040577$Cinnamyl formate;HMDB0040592$Allyl benzoate;HMDB0133504$4-(3-hydroxyphenyl)but-3-en-2-one;HMDB0133594$(2E)-2-methyl-3-phenylprop-2-enoic acid;HMDB0133595$(2Z)-2-(hydroxymethyl)-3-phenylprop-2-enal;HMDB0133596$(2Z)-3-(3-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133597$(2Z)-3-(4-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133598$2-methyl-3-phenyloxirane-2-carbaldehyde;HMDB0133599$(2Z)-3-(2-hydroxyphenyl)-2-methylprop-2-enal;HMDB0133747$(3E)-1-hydroxy-4-phenylbut-3-en-2-one;HMDB0133748$(3E)-4-(3-hydroxyphenyl)but-3-en-2-one;HMDB0133749$(3E)-4-(4-hydroxyphenyl)but-3-en-2-one;HMDB0133750$1-(3-phenyloxiran-2-yl)ethan-1-one;HMDB0133751$(3E)-4-(2-hydroxyphenyl)but-3-en-2-one;HMDB0133752$(3Z)-3-hydroxy-4-phenylbut-3-en-2-one;HMDB0133755$1-phenylbutane-2,3-dione;HMDB0135643$3-(4-methoxyphenyl)prop-2-enal;HMDB0141046$4-(4-hydroxyphenyl)but-3-en-2-one;HMDB0141158$1-hydroxy-4-phenylbut-3-en-2-one)	('C10H10O2_162.06808', '', 1)
F6208	228.0326156616211	347.93415	950	kp25_188.0663	13C/12C,K/H	None	188.06628397170655	(Z)-1-(Methylthio)-5-phenyl-1-penten-3-yne	(HMDB0032688$(Z)-1-(Methylthio)-5-phenyl-1-penten-3-yne)	('C12H12S_188.065971', '', 1)
F524	190.07720947265625	347.2824	948	kp25_188.0663	13C/12C,M+H+	None	188.06628397170655	(Z)-1-(Methylthio)-5-phenyl-1-penten-3-yne	(HMDB0032688$(Z)-1-(Methylthio)-5-phenyl-1-penten-3-yne)	('C12H12S_188.065971', '', 1)
F390	189.07344818115234	347.2824	948	kp25_188.0663	M0,M+H+	None	188.06628397170655	(Z)-1-(Methylthio)-5-phenyl-1-penten-3-yne	(HMDB0032688$(Z)-1-(Methylthio)-5-phenyl-1-penten-3-yne)	('C12H12S_188.065971', '', 1)
F391	132.04442596435547	181.15626600000002	451	kp26_131.0371	M0,M+H+	None	131.03713520559327			
F650	133.0477523803711	181.15626600000002	451	kp26_131.0371	13C/12C,M+H+	None	131.03713520559327			
F651	133.05194854736328	182.843508	456	kp27_131.0413	13C/12C,M+H+	None	131.04129513296144			
F392	132.0485496520996	181.493268	452	kp27_131.0413	M0,M+H+	None	131.04129513296144			
F415	189.08684539794922	44.4830688	42	kp28_188.0793	M0,M+H+	None	188.07932957204835	N-Acetylglutamine	(HMDB0006029$N-Acetylglutamine;HMDB0011173$Glycylhydroxyproline)	('C7H12N2O4_188.079707', '', 1)
F533	190.0897216796875	44.4830688	42	kp28_188.0793	13C/12C,M+H+	None	188.07932957204835	N-Acetylglutamine	(HMDB0006029$N-Acetylglutamine;HMDB0011173$Glycylhydroxyproline)	('C7H12N2O4_188.079707', '', 1)
F687	133.06880950927734	45.1126728	44	kp29_131.0582	13C/12C,M+H+	None	131.05819996389405	Trans-3-hydroxy-L-proline	(HMDB0059659$Trans-3-hydroxy-L-proline;HMDB0060460$cis-4-Hydroxy-D-proline;HMDB0061880$N-Acetyl-beta-alanine;HMDB0000725$4-Hydroxyproline;HMDB0000766$N-Acetyl-L-alanine;HMDB0000783$Propionylglycine;HMDB0001149$5-Aminolevulinic acid;HMDB0002104$L-Glutamic gamma-semialdehyde;HMDB0002113$3-Hydroxy-L-proline;HMDB0006272$5-Amino-2-oxopentanoic acid;HMDB0240251$cis-4-Hydroxyproline)	('C5H9NO3_131.058243', '', 1)
F417	132.06549835205078	44.4830688	42	kp29_131.0582	M0,M+H+	None	131.05819996389405	Trans-3-hydroxy-L-proline	(HMDB0059659$Trans-3-hydroxy-L-proline;HMDB0060460$cis-4-Hydroxy-D-proline;HMDB0061880$N-Acetyl-beta-alanine;HMDB0000725$4-Hydroxyproline;HMDB0000766$N-Acetyl-L-alanine;HMDB0000783$Propionylglycine;HMDB0001149$5-Aminolevulinic acid;HMDB0002104$L-Glutamic gamma-semialdehyde;HMDB0002113$3-Hydroxy-L-proline;HMDB0006272$5-Amino-2-oxopentanoic acid;HMDB0240251$cis-4-Hydroxyproline)	('C5H9NO3_131.058243', '', 1)
F552	190.1305923461914	573.508392	1636	kp30_188.12	13C/12C,M+H+	None	188.11995991262452	3-Buten-2-one 1-(2,3,6-trimethyl phenyl)	(HMDB0059677$3-Buten-2-one 1-(2,3,6-trimethyl phenyl);HMDB0059683$1-H-Inden-1-one,2,3-dihydro-3,3,5,6-tetramethyl;HMDB0059697$1-(2,3,6-trimethyl phenyl)-3-Buten-2-one;HMDB0031855$5-Methyl-2-phenyl-2-hexenal;HMDB0037292$2-Butyl-3-phenyl-2-propen-1-al)	('C13H16O_188.120115', '', 1)
